Pixels, Value
0, 26240
87,5, 26432
87,6, 26432
87,7, 26432
87,8, 26432
87,9, 26432
88, 26432
88,1, 26496
88,2, 26496
88,3, 26496
88,4, 26496
88,5, 26496
88,6, 26496
88,7, 26496
88,8, 26496
88,9, 26496
89, 26496
89,1, 25792
89,2, 25792
89,3, 25792
89,4, 25792
89,5, 25792
89,6, 25792
89,7, 25792
89,8, 25792
89,9, 25792
90, 25792
90,1, 26624
90,2, 26624
90,3, 26624
90,4, 26624
90,5, 26624
90,6, 26624
90,7, 26624
90,8, 26624
90,9, 26624
91, 26624
91,1, 25984
91,2, 25984
91,3, 25984
91,4, 25984
91,5, 25984
91,6, 25984
91,7, 25984
91,8, 25984
91,9, 25984
92, 25984
92,1, 26624
92,2, 26624
92,3, 26624
92,4, 26624
92,5, 26624
92,6, 26624
92,7, 26624
92,8, 26624
92,9, 26624
93, 26624
93,1, 25408
93,2, 25408
93,3, 25408
93,4, 25408
93,5, 25408
93,6, 25408
93,7, 25408
93,8, 25408
93,9, 25408
94, 25408
94,1, 24576
94,2, 24576
94,3, 24576
94,4, 24576
94,5, 24576
94,6, 24576
94,7, 24576
94,8, 24576
94,9, 24576
95, 24576
95,1, 20672
95,2, 20672
95,3, 20672
95,4, 20672
95,5, 20672
95,6, 20672
95,7, 20672
95,8, 20672
95,9, 20672
96, 20672
96,1, 13760
96,2, 13760
96,3, 13760
96,4, 13760
96,5, 13760
96,6, 13760
96,7, 13760
96,8, 13760
96,9, 13760
97, 13760
97,1, 9664
97,2, 9664
97,3, 9664
97,4, 9664
97,5, 9664
97,6, 9664
97,7, 9664
97,8, 9664
97,9, 9664
98, 9664
98,1, 8192
98,2, 8192
98,3, 8192
98,4, 8192
98,5, 8192
98,6, 8192
98,7, 8192
98,8, 8192
98,9, 8192
99, 8192
99,1, 8640
99,2, 8640
99,3, 8640
99,4, 8640
99,5, 8640
99,6, 8640
99,7, 8640
99,8, 8640
99,9, 8640
100, 8640
100,1, 11648
100,2, 11648
100,3, 11648
100,4, 11648
100,5, 11648
100,6, 11648
100,7, 11648
100,8, 11648
100,9, 11648
101, 11648
101,1, 16832
101,2, 16832
101,3, 16832
101,4, 16832
101,5, 16832
101,6, 16832
101,7, 16832
101,8, 16832
101,9, 16832
102, 16832
102,1, 22784
102,2, 22784
102,3, 22784
102,4, 22784
102,5, 22784
102,6, 22784
102,7, 22784
102,8, 22784
102,9, 22784
103, 22784
103,1, 25088
103,2, 25088
103,3, 25088
103,4, 25088
103,5, 25088
103,6, 25088
103,7, 25088
103,8, 25088
103,9, 25088
104, 25088
104,1, 24960
104,2, 24960
104,3, 24960
104,4, 24960
104,5, 24960
104,6, 24960
104,7, 24960
104,8, 24960
104,9, 24960
105, 24960
105,1, 22016
105,2, 22016
105,3, 22016
105,4, 22016
105,5, 22016
105,6, 22016
105,7, 22016
105,8, 22016
105,9, 22016
106, 22016
106,1, 16640
106,2, 16640
106,3, 16640
106,4, 16640
106,5, 16640
106,6, 16640
106,7, 16640
106,8, 16640
106,9, 16640
107, 16640
107,1, 11328
107,2, 11328
107,3, 11328
107,4, 11328
107,5, 11328
107,6, 11328
107,7, 11328
107,8, 11328
107,9, 11328
108, 11328
108,1, 9152
108,2, 9152
108,3, 9152
108,4, 9152
108,5, 9152
108,6, 9152
108,7, 9152
108,8, 9152
108,9, 9152
109, 9152
109,1, 8768
109,2, 8768
109,3, 8768
109,4, 8768
109,5, 8768
109,6, 8768
109,7, 8768
109,8, 8768
109,9, 8768
110, 8768
110,1, 10304
110,2, 10304
110,3, 10304
110,4, 10304
110,5, 10304
110,6, 10304
110,7, 10304
110,8, 10304
110,9, 10304
111, 10304
111,1, 15552
111,2, 15552
111,3, 15552
111,4, 15552
111,5, 15552
111,6, 15552
111,7, 15552
111,8, 15552
111,9, 15552
112, 15552
112,1, 20672
112,2, 20672
112,3, 20672
112,4, 20672
112,5, 20672
112,6, 20672
112,7, 20672
112,8, 20672
112,9, 20672
113, 20672
113,1, 24448
113,2, 24448
113,3, 24448
113,4, 24448
113,5, 24448
113,6, 24448
113,7, 24448
113,8, 24448
113,9, 24448
114, 24448
114,1, 24832
114,2, 24832
114,3, 24832
114,4, 24832
114,5, 24832
114,6, 24832
114,7, 24832
114,8, 24832
114,9, 24832
115, 24832
115,1, 24512
115,2, 24512
115,3, 24512
115,4, 24512
115,5, 24512
115,6, 24512
115,7, 24512
115,8, 24512
115,9, 24512
116, 24512
116,1, 20480
116,2, 20480
116,3, 20480
116,4, 20480
116,5, 20480
116,6, 20480
116,7, 20480
116,8, 20480
116,9, 20480
117, 20480
117,1, 14784
117,2, 14784
117,3, 14784
117,4, 14784
117,5, 14784
117,6, 14784
117,7, 14784
117,8, 14784
117,9, 14784
118, 14784
118,1, 10624
118,2, 10624
118,3, 10624
118,4, 10624
118,5, 10624
118,6, 10624
118,7, 10624
118,8, 10624
118,9, 10624
119, 10624
119,1, 8320
119,2, 8320
119,3, 8320
119,4, 8320
119,5, 8320
119,6, 8320
119,7, 8320
119,8, 8320
119,9, 8320
120, 8320
120,1, 9280
120,2, 9280
120,3, 9280
120,4, 9280
120,5, 9280
120,6, 9280
120,7, 9280
120,8, 9280
120,9, 9280
121, 9280
121,1, 13120
121,2, 13120
121,3, 13120
121,4, 13120
121,5, 13120
121,6, 13120
121,7, 13120
121,8, 13120
121,9, 13120
122, 13120
122,1, 18816
122,2, 18816
122,3, 18816
122,4, 18816
122,5, 18816
122,6, 18816
122,7, 18816
122,8, 18816
122,9, 18816
123, 18816
123,1, 23680
123,2, 23680
123,3, 23680
123,4, 23680
123,5, 23680
123,6, 23680
123,7, 23680
123,8, 23680
123,9, 23680
124, 23680
124,1, 25344
124,2, 25344
124,3, 25344
124,4, 25344
124,5, 25344
124,6, 25344
124,7, 25344
124,8, 25344
124,9, 25344
125, 25344
125,1, 26240
125,2, 26240
125,3, 26240
125,4, 26240
125,5, 26240
125,6, 26240
125,7, 26240
125,8, 26240
125,9, 26240
126, 26240
126,1, 25856
126,2, 25856
126,3, 25856
126,4, 25856
126,5, 25856
126,6, 25856
126,7, 25856
126,8, 25856
126,9, 25856
127, 25856
127,1, 26560
127,2, 26560
127,3, 26560
127,4, 26560
127,5, 26560
127,6, 26560
127,7, 26560
127,8, 26560
127,9, 26560
128, 26560
128,1, 25792
128,2, 25792
128,3, 25792
128,4, 25792
128,5, 25792
128,6, 25792
128,7, 25792
128,8, 25792
128,9, 25792
129, 25792
129,1, 25920
129,2, 25920
129,3, 25920
129,4, 25920
129,5, 25920
129,6, 25920
129,7, 25920
129,8, 25920
129,9, 25920
130, 25920
130,1, 26368
130,2, 26368
130,3, 26368
130,4, 26368
130,5, 26368
130,6, 26368
130,7, 26368
130,8, 26368
130,9, 26368
131, 26368
131,1, 25856
131,2, 25856
131,3, 25856
131,4, 25856
131,5, 25856
131,6, 25856
131,7, 25856
131,8, 25856
131,9, 25856
132, 25856
132,1, 26048
132,2, 26048
132,3, 26048
132,4, 26048
132,5, 26048
132,6, 26048
132,7, 26048
132,8, 26048
132,9, 26048
133, 26048
133,1, 25536
133,2, 25536
133,3, 25536
133,4, 25536
133,5, 25536
133,6, 25536
133,7, 25536
133,8, 25536
133,9, 25536
134, 25536
134,1, 26560
134,2, 26560
134,3, 26560
134,4, 26560
134,5, 26560
134,6, 26560
134,7, 26560
134,8, 26560
134,9, 26560
135, 26560
135,1, 26368
135,2, 26368
135,3, 26368
135,4, 26368
135,5, 26368
135,6, 26368
135,7, 26368
135,8, 26368
135,9, 26368
136, 26368
136,1, 25792
136,2, 25792
136,3, 25792
136,4, 25792
136,5, 25792
136,6, 25792
136,7, 25792
136,8, 25792
136,9, 25792
137, 25792
137,1, 26368
137,2, 26368
137,3, 26368
137,4, 26368
137,5, 26368
137,6, 26368
137,7, 26368
137,8, 26368
137,9, 26368
138, 26368
138,1, 27008
138,2, 27008
138,3, 27008
138,4, 27008
138,5, 27008
138,6, 27008
138,7, 27008
138,8, 27008
138,9, 27008
139, 27008
139,1, 26368
139,2, 26368
139,3, 26368
139,4, 26368
139,5, 26368
139,6, 26368
139,7, 26368
139,8, 26368
139,9, 26368
140, 26368
140,1, 26048
140,2, 26048
140,3, 26048
140,4, 26048
140,5, 26048
140,6, 26048
140,7, 26048
140,8, 26048
140,9, 26048
141, 26048
141,1, 25984
141,2, 25984
141,3, 25984
141,4, 25984
141,5, 25984
141,6, 25984
141,7, 25984
141,8, 25984
141,9, 25984
142, 25984
142,1, 26496
142,2, 26496
142,3, 26496
142,4, 26496
142,5, 26496
142,6, 26496
142,7, 26496
142,8, 26496
142,9, 26496
143, 26496
143,1, 25920
143,2, 25920
143,3, 25920
143,4, 25920
143,5, 25920
143,6, 25920
143,7, 25920
143,8, 25920
143,9, 25920
144, 25920
144,1, 26176
144,2, 26176
144,3, 26176
144,4, 26176
144,5, 26176
144,6, 26176
144,7, 26176
144,8, 26176
144,9, 26176
145, 26176
145,1, 25536
145,2, 25536
145,3, 25536
145,4, 25536
145,5, 25536
145,6, 25536
145,7, 25536
145,8, 25536
145,9, 25536
146, 25536
146,1, 26112
146,2, 26112
146,3, 26112
146,4, 26112
146,5, 26112
146,6, 26112
146,7, 26112
146,8, 26112
146,9, 26112
147, 26112
147,1, 26304
147,2, 26304
147,3, 26304
147,4, 26304
147,5, 26304
147,6, 26304
147,7, 26304
147,8, 26304
147,9, 26304
148, 26304
148,1, 26176
148,2, 26176
148,3, 26176
148,4, 26176
148,5, 26176
148,6, 26176
148,7, 26176
148,8, 26176
148,9, 26176
149, 26176
149,1, 25536
149,2, 25536
149,3, 25536
149,4, 25536
149,5, 25536
149,6, 25536
149,7, 25536
149,8, 25536
149,9, 25536
150, 25536
150,1, 26304
150,2, 26304
150,3, 26304
150,4, 26304
150,5, 26304
150,6, 26304
150,7, 26304
150,8, 26304
150,9, 26304
151, 26304
151,1, 26688
151,2, 26688
151,3, 26688
151,4, 26688
151,5, 26688
151,6, 26688
151,7, 26688
151,8, 26688
151,9, 26688
152, 26688
152,1, 26112
152,2, 26112
152,3, 26112
152,4, 26112
152,5, 26112
152,6, 26112
152,7, 26112
152,8, 26112
152,9, 26112
153, 26112
153,1, 25728
153,2, 25728
153,3, 25728
153,4, 25728
153,5, 25728
153,6, 25728
153,7, 25728
153,8, 25728
153,9, 25728
154, 25728
154,1, 26176
154,2, 26176
154,3, 26176
154,4, 26176
154,5, 26176
154,6, 26176
154,7, 26176
154,8, 26176
154,9, 26176
155, 26176
155,1, 24576
155,2, 24576
155,3, 24576
155,4, 24576
155,5, 24576
155,6, 24576
155,7, 24576
155,8, 24576
155,9, 24576
156, 24576
156,1, 22592
156,2, 22592
156,3, 22592
156,4, 22592
156,5, 22592
156,6, 22592
156,7, 22592
156,8, 22592
156,9, 22592
157, 22592
157,1, 17152
157,2, 17152
157,3, 17152
157,4, 17152
157,5, 17152
157,6, 17152
157,7, 17152
157,8, 17152
157,9, 17152
158, 17152
158,1, 11456
158,2, 11456
158,3, 11456
158,4, 11456
158,5, 11456
158,6, 11456
158,7, 11456
158,8, 11456
158,9, 11456
159, 11456
159,1, 9920
159,2, 9920
159,3, 9920
159,4, 9920
159,5, 9920
159,6, 9920
159,7, 9920
159,8, 9920
159,9, 9920
160, 9920
160,1, 13376
160,2, 13376
160,3, 13376
160,4, 13376
160,5, 13376
160,6, 13376
160,7, 13376
160,8, 13376
160,9, 13376
161, 13376
161,1, 19648
161,2, 19648
161,3, 19648
161,4, 19648
161,5, 19648
161,6, 19648
161,7, 19648
161,8, 19648
161,9, 19648
162, 19648
162,1, 22720
162,2, 22720
162,3, 22720
162,4, 22720
162,5, 22720
162,6, 22720
162,7, 22720
162,8, 22720
162,9, 22720
163, 22720
163,1, 22336
163,2, 22336
163,3, 22336
163,4, 22336
163,5, 22336
163,6, 22336
163,7, 22336
163,8, 22336
163,9, 22336
164, 22336
164,1, 18304
164,2, 18304
164,3, 18304
164,4, 18304
164,5, 18304
164,6, 18304
164,7, 18304
164,8, 18304
164,9, 18304
165, 18304
165,1, 12800
165,2, 12800
165,3, 12800
165,4, 12800
165,5, 12800
165,6, 12800
165,7, 12800
165,8, 12800
165,9, 12800
166, 12800
166,1, 10944
166,2, 10944
166,3, 10944
166,4, 10944
166,5, 10944
166,6, 10944
166,7, 10944
166,8, 10944
166,9, 10944
167, 10944
167,1, 13760
167,2, 13760
167,3, 13760
167,4, 13760
167,5, 13760
167,6, 13760
167,7, 13760
167,8, 13760
167,9, 13760
168, 13760
168,1, 18688
168,2, 18688
168,3, 18688
168,4, 18688
168,5, 18688
168,6, 18688
168,7, 18688
168,8, 18688
168,9, 18688
169, 18688
169,1, 22080
169,2, 22080
169,3, 22080
169,4, 22080
169,5, 22080
169,6, 22080
169,7, 22080
169,8, 22080
169,9, 22080
170, 22080
170,1, 20672
170,2, 20672
170,3, 20672
170,4, 20672
170,5, 20672
170,6, 20672
170,7, 20672
170,8, 20672
170,9, 20672
171, 20672
171,1, 15616
171,2, 15616
171,3, 15616
171,4, 15616
171,5, 15616
171,6, 15616
171,7, 15616
171,8, 15616
171,9, 15616
172, 15616
172,1, 11520
172,2, 11520
172,3, 11520
172,4, 11520
172,5, 11520
172,6, 11520
172,7, 11520
172,8, 11520
172,9, 11520
173, 11520
173,1, 10816
173,2, 10816
173,3, 10816
173,4, 10816
173,5, 10816
173,6, 10816
173,7, 10816
173,8, 10816
173,9, 10816
174, 10816
174,1, 15040
174,2, 15040
174,3, 15040
174,4, 15040
174,5, 15040
174,6, 15040
174,7, 15040
174,8, 15040
174,9, 15040
175, 15040
175,1, 21312
175,2, 21312
175,3, 21312
175,4, 21312
175,5, 21312
175,6, 21312
175,7, 21312
175,8, 21312
175,9, 21312
176, 21312
176,1, 24640
176,2, 24640
176,3, 24640
176,4, 24640
176,5, 24640
176,6, 24640
176,7, 24640
176,8, 24640
176,9, 24640
177, 24640
177,1, 25472
177,2, 25472
177,3, 25472
177,4, 25472
177,5, 25472
177,6, 25472
177,7, 25472
177,8, 25472
177,9, 25472
178, 25472
178,1, 26368
178,2, 26368
178,3, 26368
178,4, 26368
178,5, 26368
178,6, 26368
178,7, 26368
178,8, 26368
178,9, 26368
