Pixels, Value
0, 24128
67,8, 26240
67,9, 26240
68, 26304
68,1, 26304
68,2, 26304
68,3, 26304
68,4, 26304
68,5, 26304
68,6, 26304
68,7, 26304
68,8, 26304
68,9, 26304
69, 26432
69,1, 26432
69,2, 26432
69,3, 26432
69,4, 26432
69,5, 26432
69,6, 26432
69,7, 26432
69,8, 26432
69,9, 26432
70, 26048
70,1, 26048
70,2, 26048
70,3, 26048
70,4, 26048
70,5, 26048
70,6, 26048
70,7, 26048
70,8, 26048
70,9, 26048
71, 25984
71,1, 25984
71,2, 25984
71,3, 25984
71,4, 25984
71,5, 25984
71,6, 25984
71,7, 25984
71,8, 25984
71,9, 25984
72, 25792
72,1, 25792
72,2, 25792
72,3, 25792
72,4, 25792
72,5, 25792
72,6, 25792
72,7, 25792
72,8, 25792
72,9, 25792
73, 26816
73,1, 26816
73,2, 26816
73,3, 26816
73,4, 26816
73,5, 26816
73,6, 26816
73,7, 26816
73,8, 26816
73,9, 26816
74, 26496
74,1, 26496
74,2, 26496
74,3, 26496
74,4, 26496
74,5, 26496
74,6, 26496
74,7, 26496
74,8, 26496
74,9, 26496
75, 25664
75,1, 25664
75,2, 25664
75,3, 25664
75,4, 25664
75,5, 25664
75,6, 25664
75,7, 25664
75,8, 25664
75,9, 25664
76, 25536
76,1, 25536
76,2, 25536
76,3, 25536
76,4, 25536
76,5, 25536
76,6, 25536
76,7, 25536
76,8, 25536
76,9, 25536
77, 26112
77,1, 26112
77,2, 26112
77,3, 26112
77,4, 26112
77,5, 26112
77,6, 26112
77,7, 26112
77,8, 26112
77,9, 26304
78, 25728
78,1, 25728
78,2, 25728
78,3, 25728
78,4, 25728
78,5, 25728
78,6, 25728
78,7, 25728
78,8, 25728
78,9, 25728
79, 25856
79,1, 25856
79,2, 25856
79,3, 25856
79,4, 25856
79,5, 25856
79,6, 25856
79,7, 25856
79,8, 25856
79,9, 25856
80, 25792
80,1, 25792
80,2, 25792
80,3, 25792
80,4, 25792
80,5, 25792
80,6, 25792
80,7, 25792
80,8, 25792
80,9, 25792
81, 25088
81,1, 25088
81,2, 25088
81,3, 25088
81,4, 25088
81,5, 25088
81,6, 25088
81,7, 25088
81,8, 25088
81,9, 25088
82, 21504
82,1, 21504
82,2, 21504
82,3, 21504
82,4, 21504
82,5, 21504
82,6, 21504
82,7, 21504
82,8, 21504
82,9, 21504
83, 14464
83,1, 14464
83,2, 14464
83,3, 14464
83,4, 14464
83,5, 14464
83,6, 14464
83,7, 14464
83,8, 14464
83,9, 14464
84, 9984
84,1, 9984
84,2, 9984
