Pixels, Value
51,6, 4,0980106343196
51,7, 4,0980106343196
51,8, 4,0980106343196
51,9, 4,0980106343196
52, 4,0980106343196
52,1, 4,0980106343196
52,2, 4,0980106343196
52,3, 2,48116291092359
52,4, 2,48116291092359
52,5, 2,48116291092359
52,6, 2,48116291092359
52,7, 2,48116291092359
52,8, 2,48116291092359
52,9, 2,48116291092359
53, 2,48116291092359
53,1, 2,48116291092359
53,2, 2,48116291092359
53,3, 2,48116291092359
53,4, 0
53,5, 0
53,6, 0
53,7, 0
53,8, 0
53,9, 0
54, 0
54,1, 0
54,2, 0
54,3, 0
54,4, 0
54,5, 0
54,6, 0
54,7, 0
54,8, 0
54,9, 0
55, 0
55,1, 0
55,2, 0
55,3, 0
55,4, 0
55,5, 0
55,6, 0
55,7, 0
55,8, 0
55,9, 0
56, 0
56,1, 0
56,2, 0
56,3, 0
56,4, 0
56,5, 0
56,6, 2,08481379239009
56,7, 2,08481379239009
56,8, 2,08481379239009
56,9, 2,08481379239009
57, 2,08481379239009
57,1, 2,08481379239009
57,2, 2,08481379239009
57,3, 2,08481379239009
57,4, 2,08481379239009
57,5, 2,08481379239009
57,6, 4,46179939152644
57,7, 4,46179939152644
57,8, 4,46179939152644
57,9, 4,46179939152644
58, 4,46179939152644
58,1, 4,46179939152644
58,2, 4,46179939152644
58,3, 4,46179939152644
58,4, 4,46179939152644
58,5, 4,46179939152644
58,6, 4,46179939152644
58,7, 2,10137125106958
58,8, 2,10137125106958
58,9, 2,10137125106958
59, 2,10137125106958
59,1, 2,10137125106958
59,2, 2,10137125106958
59,3, 2,10137125106958
59,4, 2,10137125106958
59,5, 2,10137125106958
59,6, 2,10137125106958
59,7, 0
59,8, 0
59,9, 0
60, 0
60,1, 0
60,2, 0
60,3, 0
60,4, 0
60,5, 0
60,6, 0
60,7, 0
60,8, 0
60,9, 0
61, 0
61,1, 0
61,2, 0
61,3, 0
61,4, 0
61,5, 0
61,6, 0
61,7, 0
61,8, 0
61,9, 0
62, 0
62,1, 0
62,2, 0
62,3, 0
62,4, 0
62,5, 0
62,6, 0
62,7, 0
62,8, 0
62,9, 0
63, 0
63,1, 0
63,2, 0
63,3, 0
63,4, 0
63,5, 0
63,6, 0
63,7, 0
63,8, 0
63,9, 0
64, 0
64,1, 0
64,2, 0
64,3, 0
64,4, 0
64,5, 0
64,6, 0
64,7, 0
64,8, 0
64,9, 0
65, 0
65,1, 0
65,2, 0
65,3, 0
65,4, 0
65,5, 0
65,6, 0
65,7, 0
65,8, 0
65,9, 0
66, 0
66,1, 0
66,2, 0
66,3, 0
66,4, 0
66,5, 0
66,6, 0
66,7, 0
66,8, 0
66,9, 0
67, 0
67,1, 0
67,2, 0
67,3, 0
67,4, 0
67,5, 0
67,6, 0
67,7, 0
67,8, 0
67,9, 0
68, 0
68,1, 0
68,2, 0
68,3, 0
68,4, 0
68,5, 0
68,6, 0
68,7, 0
68,8, 0
68,9, 0
69, 0
69,1, 0
69,2, 0
69,3, 0
69,4, 0
69,5, 0
69,6, 0
69,7, 0
69,8, 0
69,9, 0
70, 0
70,1, 0
70,2, 0
70,3, 0
70,4, 0
70,5, 0
70,6, 0
70,7, 0
70,8, 0
70,9, 0
71, 0
71,1, 0
71,2, 0
71,3, 0
71,4, 0
71,5, 0
71,6, 0
71,7, 0
71,8, 0
71,9, 0
72, 0
72,1, 0
72,2, 0
72,3, 0
72,4, 0
72,5, 0
72,6, 0
72,7, 0
72,8, 0
72,9, 0
73, 0
73,1, 0
73,2, 0
73,3, 0
73,4, 0
73,5, 0
73,6, 0
73,7, 0
73,8, 0
73,9, 0
74, 0
74,1, 0
74,2, 0
74,3, 0
74,4, 0
74,5, 0
74,6, 0
74,7, 0
74,8, 0
74,9, 0
75, 0
75,1, 0
75,2, 0
75,3, 0
75,4, 0
75,5, 0
75,6, 0
75,7, 0
75,8, 0
75,9, 0
76, 0
76,1, 0
76,2, 0
76,3, 0
76,4, 0
76,5, 0
76,6, 0
76,7, 0
76,8, 0
76,9, 0
77, 0
77,1, 0
77,2, 0
77,3, 0
77,4, 0
77,5, 0
77,6, 0
77,7, 0
77,8, 0
77,9, 0
78, 0
78,1, 0
78,2, 0
78,3, 0
78,4, 0
78,5, 0
78,6, 0
78,7, 0
78,8, 0
78,9, 0
79, 0
79,1, 0
79,2, 0
79,3, 0
79,4, 0
79,5, 0
79,6, 0
79,7, 0
79,8, 2,55713708735246
79,9, 2,55713708735246
80, 2,55713708735246
80,1, 2,55713708735246
80,2, 2,55713708735246
80,3, 2,55713708735246
80,4, 2,55713708735246
80,5, 2,55713708735246
80,6, 2,55713708735246
80,7, 2,55713708735246
80,8, 3,46407386707893
80,9, 3,46407386707893
81, 3,46407386707893
81,1, 3,46407386707893
81,2, 3,46407386707893
81,3, 3,46407386707893
81,4, 3,46407386707893
81,5, 3,46407386707893
81,6, 3,46407386707893
81,7, 3,46407386707893
81,8, 3,46407386707893
81,9, 0,0685272811376132
82, 0,0685272811376132
82,1, 0,0685272811376132
82,2, 0,0685272811376132
82,3, 0,0685272811376132
82,4, 0,0685272811376132
82,5, 0
82,6, 0
82,7, 0
82,8, 0
82,9, 0
83, 0
83,1, 0
83,2, 0
83,3, 0
83,4, 0
83,5, 0
83,6, 0
83,7, 0
83,8, 0
83,9, 0
84, 2,93447285620616
84,1, 2,93447285620616
84,2, 2,93447285620616
84,3, 2,93447285620616
84,4, 2,93447285620616
84,5, 2,93447285620616
84,6, 2,93447285620616
84,7, 2,93447285620616
84,8, 2,93447285620616
84,9, 2,93447285620616
85, 2,93447285620616
85,1, 3,38754513461773
85,2, 3,38754513461773
85,3, 3,38754513461773
85,4, 3,38754513461773
85,5, 3,38754513461773
85,6, 3,38754513461773
85,7, 2,51308949392759
85,8, 2,51308949392759
85,9, 2,51308949392759
86, 2,51308949392759
86,1, 0
86,2, 0
86,3, 0
86,4, 0
86,5, 0
86,6, 0
86,7, 0
86,8, 0
86,9, 0
87, 0
87,1, 0
87,2, 0
87,3, 0
87,4, 0
87,5, 0
87,6, 0
87,7, 0
87,8, 0
87,9, 0
88, 0
88,1, 0
88,2, 3,5683304011565
88,3, 3,5683304011565
88,4, 3,5683304011565
88,5, 3,5683304011565
88,6, 3,5683304011565
88,7, 3,5683304011565
88,8, 4,49443897514343
88,9, 4,49443897514343
89, 4,49443897514343
89,1, 4,49443897514343
89,2, 4,49443897514343
89,3, 2,39021572162188
89,4, 2,39021572162188
89,5, 2,39021572162188
89,6, 2,39021572162188
89,7, 2,39021572162188
89,8, 2,39021572162188
89,9, 2,39021572162188
90, 2,39021572162188
90,1, 2,39021572162188
90,2, 2,39021572162188
90,3, 2,39021572162188
90,4, 0
90,5, 0
90,6, 0
90,7, 0
90,8, 0
90,9, 0
91, 0
91,1, 0
91,2, 0
91,3, 0
91,4, 0
91,5, 0
91,6, 0
91,7, 0
91,8, 0
91,9, 0
92, 0
92,1, 0
92,2, 0
92,3, 0
92,4, 0
92,5, 0
92,6, 0
92,7, 0
92,8, 0
92,9, 0
93, 0
93,1, 0
93,2, 0
93,3, 0
93,4, 0
93,5, 0
93,6, 0
93,7, 0
93,8, 0
93,9, 0
94, 0
94,1, 0
94,2, 0
94,3, 0
94,4, 0
94,5, 0
94,6, 0
94,7, 0
94,8, 0
94,9, 0
95, 0
95,1, 0
95,2, 0
95,3, 0
95,4, 0
95,5, 0
95,6, 0
95,7, 0
95,8, 0
95,9, 0
96, 0
96,1, 0
96,2, 0
96,3, 0
96,4, 0
96,5, 0
96,6, 0
96,7, 0
96,8, 0
96,9, 0
97, 0
97,1, 0
97,2, 0
97,3, 0
97,4, 0
97,5, 0
97,6, 0
97,7, 0
97,8, 0
97,9, 0
98, 0
98,1, 0
98,2, 0
98,3, 0
98,4, 0
98,5, 0
98,6, 0
98,7, 0
98,8, 0
98,9, 0
99, 0
99,1, 0
99,2, 0
99,3, 0
99,4, 0
99,5, 0
99,6, 0
99,7, 0
99,8, 0
99,9, 0
100, 0
100,1, 0
100,2, 0
100,3, 0
100,4, 0
100,5, 0
100,6, 0
100,7, 0
100,8, 0
100,9, 0
101, 0
101,1, 0
101,2, 0
101,3, 0
101,4, 0
101,5, 0
101,6, 0
101,7, 0
101,8, 0
101,9, 0
102, 0
102,1, 0
102,2, 0
102,3, 0
102,4, 0
102,5, 0
102,6, 0
102,7, 0
102,8, 0
102,9, 0
103, 0
103,1, 0
103,2, 0
103,3, 0
103,4, 0
103,5, 0
103,6, 0
103,7, 0
103,8, 0
103,9, 0
104, 0
104,1, 0
104,2, 0
104,3, 0
104,4, 0
104,5, 0
104,6, 0
104,7, 0
104,8, 0
104,9, 0
105, 0
105,1, 0
105,2, 0
105,3, 0
105,4, 0
105,5, 0
105,6, 0
105,7, 0
105,8, 0
105,9, 0
106, 0
106,1, 0
106,2, 0
106,3, 0
106,4, 0
106,5, 0
106,6, 0
106,7, 0
106,8, 0
106,9, 0
107, 0
107,1, 0
107,2, 0
107,3, 0
107,4, 0
107,5, 0
107,6, 0
107,7, 0
107,8, 0
107,9, 0
108, 0
108,1, 0
108,2, 0
108,3, 0
108,4, 0
108,5, 0
108,6, 0
108,7, 0
108,8, 0
108,9, 0
109, 0
109,1, 0
109,2, 0
109,3, 0
109,4, 0
109,5, 0
109,6, 0
109,7, 0
109,8, 0
109,9, 0
110, 0
110,1, 0
110,2, 0
110,3, 0
110,4, 1,71199369408534
110,5, 1,71199369408534
110,6, 2,81627319903007
110,7, 2,81627319903007
110,8, 2,81627319903007
110,9, 2,81627319903007
111, 2,81627319903007
111,1, 2,81627319903007
111,2, 2,81627319903007
111,3, 2,81627319903007
111,4, 2,81627319903007
111,5, 0,75649365038505
111,6, 0,75649365038505
111,7, 0,75649365038505
111,8, 0,75649365038505
111,9, 0,75649365038505
112, 0,75649365038505
112,1, 0,75649365038505
112,2, 0,75649365038505
112,3, 0,75649365038505
112,4, 0,75649365038505
112,5, 0,00673389467826256
112,6, 0,00673389467826256
112,7, 0,00673389467826256
112,8, 0,00673389467826256
112,9, 0,00673389467826256
113, 0,00673389467826256
113,1, 0,00673389467826256
113,2, 0,00673389467826256
113,3, 0,00673389467826256
113,4, 0,00673389467826256
113,5, 0,00673389467826256
113,6, 1,72950182024882
113,7, 2,66575084739832
113,8, 2,66575084739832
113,9, 2,66575084739832
114, 2,66575084739832
114,1, 2,66575084739832
114,2, 2,66575084739832
114,3, 2,66575084739832
114,4, 2,66575084739832
114,5, 2,66575084739832
114,6, 1,16195333230679
114,7, 1,16195333230679
114,8, 1,16195333230679
114,9, 1,16195333230679
115, 1,16195333230679
115,1, 1,16195333230679
115,2, 1,16195333230679
115,3, 1,16195333230679
115,4, 1,16195333230679
115,5, 1,16195333230679
115,6, 1,16195333230679
115,7, 0,340497403849088
115,8, 0,340497403849088
115,9, 0,340497403849088
116, 0,340497403849088
116,1, 0,340497403849088
116,2, 0,340497403849088
116,3, 0,340497403849088
116,4, 0,340497403849088
116,5, 0,340497403849088
116,6, 0,340497403849088
116,7, 0,340497403849088
116,8, 2,77404771828285
116,9, 2,77404771828285
117, 2,77404771828285
117,1, 2,77404771828285
117,2, 2,77404771828285
117,3, 2,77404771828285
117,4, 2,77404771828285
117,5, 2,77404771828285
117,6, 2,77404771828285
117,7, 2,77404771828285
117,8, 1,13953342414269
117,9, 1,13953342414269
118, 1,13953342414269
118,1, 1,13953342414269
118,2, 1,13953342414269
118,3, 1,13953342414269
118,4, 1,13953342414269
118,5, 1,13953342414269
118,6, 1,13953342414269
118,7, 1,13953342414269
118,8, 1,13953342414269
118,9, 0
119, 0
119,1, 0
119,2, 0
119,3, 0
119,4, 0
119,5, 0
119,6, 0
119,7, 0
119,8, 0
119,9, 0
120, 0
120,1, 0
120,2, 0
120,3, 0
120,4, 0
120,5, 0
120,6, 0
120,7, 0
120,8, 0
120,9, 0
121, 0
121,1, 0
121,2, 0
121,3, 0
121,4, 0
121,5, 0
121,6, 0
121,7, 0
121,8, 0
121,9, 0
122, 0
122,1, 0
122,2, 0
122,3, 0
122,4, 0
122,5, 0
122,6, 0
122,7, 0
122,8, 0
122,9, 0
123, 0
123,1, 0
123,2, 0
123,3, 0
123,4, 0
123,5, 0
123,6, 0
123,7, 0
123,8, 0
123,9, 0
124, 0
124,1, 0
124,2, 0
124,3, 0
124,4, 0
124,5, 0
124,6, 0
124,7, 0
124,8, 0
124,9, 0
125, 0
125,1, 0
125,2, 0
125,3, 0
125,4, 0
125,5, 0
125,6, 0
125,7, 0
125,8, 0
125,9, 0
126, 0
126,1, 0
126,2, 0
126,3, 0
126,4, 0
126,5, 0
126,6, 0
126,7, 0
126,8, 0
126,9, 0
127, 0
127,1, 0
127,2, 0
127,3, 0
127,4, 0
127,5, 0
127,6, 0
127,7, 0
127,8, 0
127,9, 0
128, 0
128,1, 0
128,2, 0
128,3, 0
128,4, 0
128,5, 0
128,6, 0
128,7, 0
128,8, 0
128,9, 0
129, 0
129,1, 0
129,2, 0
129,3, 0
129,4, 0
129,5, 0
129,6, 0
129,7, 0
129,8, 0
129,9, 0
130, 0
130,1, 0
130,2, 0
130,3, 0
130,4, 0
130,5, 0
130,6, 0
130,7, 0
130,8, 0
130,9, 0
131, 0
131,1, 0
131,2, 0
131,3, 0
131,4, 0
131,5, 0
131,6, 0
131,7, 0
131,8, 0
131,9, 0
132, 0
132,1, 0
132,2, 0
132,3, 0
132,4, 0
132,5, 0
132,6, 0
132,7, 0
132,8, 0
132,9, 0
133, 0
133,1, 0
133,2, 0
133,3, 0
133,4, 0
133,5, 0
133,6, 0
133,7, 0
133,8, 0
133,9, 0
134, 0
134,1, 0
134,2, 0
134,3, 0
134,4, 0
134,5, 0
134,6, 0
134,7, 0
134,8, 0
134,9, 0
135, 0
135,1, 0
135,2, 0
135,3, 0
135,4, 0
135,5, 0
135,6, 0
135,7, 0
135,8, 0
135,9, 0
136, 0
136,1, 0
136,2, 0
136,3, 0
136,4, 0
136,5, 0
136,6, 0
136,7, 0
136,8, 0
136,9, 0
137, 0
137,1, 0
137,2, 0
137,3, 0
137,4, 0
137,5, 0
137,6, 0
137,7, 0
137,8, 0
137,9, 0,492841868158487
138, 0,492841868158487
138,1, 0,492841868158487
138,2, 0,492841868158487
138,3, 0,492841868158487
138,4, 0,492841868158487
138,5, 0,492841868158487
138,6, 1,01848176451463
138,7, 1,01848176451463
138,8, 1,01848176451463
138,9, 1,10285350371874
139, 1,10285350371874
139,1, 1,10285350371874
139,2, 1,10285350371874
139,3, 1,10285350371874
139,4, 1,10285350371874
139,5, 1,10285350371874
139,6, 1,10285350371874
139,7, 1,10285350371874
139,8, 1,10285350371874
139,9, 1,10285350371874
140, 1,75524906460689
140,1, 1,75524906460689
140,2, 1,75524906460689
140,3, 1,75524906460689
140,4, 1,75524906460689
140,5, 1,75524906460689
140,6, 1,75524906460689
