Pixels, Value
0, 2880
106,6, 4608
106,7, 4608
106,8, 4608
106,9, 4928
107, 4928
107,1, 4928
107,2, 4928
107,3, 4928
107,4, 4928
107,5, 4928
107,6, 4928
107,7, 4928
107,8, 4928
107,9, 4928
108, 4928
108,1, 4928
108,2, 4928
108,3, 4928
108,4, 4928
108,5, 4928
108,6, 4928
108,7, 4928
108,8, 4928
108,9, 5184
109, 5184
109,1, 5184
109,2, 5184
109,3, 5184
109,4, 5184
109,5, 5184
109,6, 5184
109,7, 5184
109,8, 5184
109,9, 5312
110, 5312
110,1, 5312
110,2, 5312
110,3, 5312
110,4, 5312
110,5, 5312
110,6, 5312
110,7, 5312
110,8, 5312
110,9, 5824
111, 5824
111,1, 5824
111,2, 5824
111,3, 5824
111,4, 5824
111,5, 5824
111,6, 5824
111,7, 5824
111,8, 5824
111,9, 5952
112, 5952
112,1, 5952
112,2, 5952
112,3, 5952
112,4, 5952
112,5, 5952
112,6, 5952
112,7, 5952
112,8, 5952
112,9, 6336
113, 6336
113,1, 6336
113,2, 6336
113,3, 6336
113,4, 6336
113,5, 6336
113,6, 6336
113,7, 6336
113,8, 6336
113,9, 6720
114, 6720
114,1, 6720
114,2, 6720
114,3, 6720
114,4, 6720
114,5, 6720
114,6, 6720
114,7, 6720
114,8, 6720
114,9, 7232
115, 7232
115,1, 7232
115,2, 7232
115,3, 7232
115,4, 7232
115,5, 7232
115,6, 7232
115,7, 7232
115,8, 7232
115,9, 8832
116, 8832
116,1, 8832
116,2, 8832
116,3, 8832
116,4, 8832
116,5, 8832
116,6, 8832
116,7, 8832
116,8, 8832
116,9, 11712
117, 11712
117,1, 11712
117,2, 11712
117,3, 11712
117,4, 11712
117,5, 11712
117,6, 11712
117,7, 11712
117,8, 11712
117,9, 15168
118, 15168
118,1, 15168
118,2, 15168
118,3, 15168
118,4, 15168
118,5, 15168
118,6, 15168
118,7, 15168
118,8, 15168
118,9, 19392
119, 19392
119,1, 19392
119,2, 19392
119,3, 19392
119,4, 19392
119,5, 19392
119,6, 19392
119,7, 19392
119,8, 19392
119,9, 22464
120, 22464
120,1, 22464
120,2, 22464
120,3, 22464
120,4, 22464
120,5, 22464
120,6, 22464
120,7, 22464
120,8, 22464
120,9, 23808
121, 23808
121,1, 23808
121,2, 23808
121,3, 23808
121,4, 23808
121,5, 23808
121,6, 23808
121,7, 23808
121,8, 23808
121,9, 24960
122, 24960
122,1, 24960
122,2, 24960
122,3, 24960
122,4, 24960
122,5, 24960
122,6, 24960
122,7, 24960
122,8, 24960
122,9, 25344
123, 25344
123,1, 25344
123,2, 25344
123,3, 25344
123,4, 25344
123,5, 25344
123,6, 25344
123,7, 25344
123,8, 25344
123,9, 25280
124, 25280
124,1, 25280
124,2, 25280
124,3, 25280
124,4, 25280
124,5, 25280
124,6, 25280
124,7, 25280
124,8, 25280
124,9, 25984
125, 25984
125,1, 25984
125,2, 25984
125,3, 25984
125,4, 25984
125,5, 25984
125,6, 25984
125,7, 25984
125,8, 25984
125,9, 25408
126, 25408
126,1, 25408
126,2, 25408
126,3, 25408
126,4, 25408
126,5, 25408
126,6, 25408
126,7, 25408
126,8, 25408
126,9, 25408
127, 25408
127,1, 25408
127,2, 25408
127,3, 25408
127,4, 25408
127,5, 25408
127,6, 25408
127,7, 25408
127,8, 25408
127,9, 25600
128, 25600
128,1, 25600
128,2, 25600
128,3, 25600
128,4, 25600
128,5, 25600
128,6, 25600
128,7, 25600
128,8, 25600
128,9, 26240
129, 26240
129,1, 26240
129,2, 26240
129,3, 26240
129,4, 26240
129,5, 26240
129,6, 26240
129,7, 26240
129,8, 26240
129,9, 25920
130, 25920
130,1, 25920
130,2, 25920
130,3, 25920
130,4, 25920
130,5, 25920
130,6, 25920
130,7, 25920
130,8, 25920
130,9, 26496
131, 26496
131,1, 26496
131,2, 26496
131,3, 26496
131,4, 26496
131,5, 26496
131,6, 26496
131,7, 26496
131,8, 26496
131,9, 26368
132, 26368
132,1, 26368
132,2, 26368
132,3, 26368
132,4, 26368
132,5, 26368
132,6, 26368
132,7, 26368
132,8, 26368
132,9, 26176
133, 26176
133,1, 26176
133,2, 26176
133,3, 26176
133,4, 26176
133,5, 26176
133,6, 26176
133,7, 26176
133,8, 26176
133,9, 25600
134, 25600
134,1, 25600
134,2, 25600
134,3, 25600
134,4, 25600
134,5, 25600
134,6, 25600
134,7, 25600
134,8, 25600
134,9, 26112
135, 26112
135,1, 26112
135,2, 26112
135,3, 26112
135,4, 26112
135,5, 26112
135,6, 26112
135,7, 26112
135,8, 26112
135,9, 25600
136, 25600
136,1, 25600
136,2, 25600
136,3, 25600
136,4, 25600
136,5, 25600
136,6, 25600
136,7, 25600
136,8, 25600
136,9, 26112
137, 26112
137,1, 26112
137,2, 26112
137,3, 26112
137,4, 26112
137,5, 26112
137,6, 26112
137,7, 26112
137,8, 26112
137,9, 26304
138, 26304
138,1, 26304
138,2, 26304
138,3, 26304
138,4, 26304
138,5, 26304
138,6, 26304
138,7, 26304
138,8, 26304
138,9, 26368
139, 26368
139,1, 26368
139,2, 26368
139,3, 26368
139,4, 26368
139,5, 26368
139,6, 26368
139,7, 26368
139,8, 26368
139,9, 26624
140, 26624
140,1, 26624
140,2, 26624
140,3, 26624
140,4, 26624
140,5, 26624
140,6, 26624
140,7, 26624
140,8, 26624
140,9, 26176
141, 26176
141,1, 26176
141,2, 26176
141,3, 26176
141,4, 26176
141,5, 26176
141,6, 26176
141,7, 26176
141,8, 26176
141,9, 26624
142, 26624
142,1, 26624
142,2, 26624
142,3, 26624
142,4, 26624
142,5, 26624
142,6, 26624
142,7, 26624
142,8, 26624
142,9, 26688
143, 26688
143,1, 26688
143,2, 26688
143,3, 26688
143,4, 26688
143,5, 26688
143,6, 26688
143,7, 26688
143,8, 26688
143,9, 26368
144, 26368
144,1, 26368
144,2, 26368
144,3, 26368
144,4, 26368
144,5, 26368
144,6, 26368
144,7, 26368
144,8, 26368
144,9, 26112
145, 26112
145,1, 26112
145,2, 26112
145,3, 26112
145,4, 26112
145,5, 26112
145,6, 26112
145,7, 26112
145,8, 26112
145,9, 26432
146, 26432
146,1, 26432
146,2, 26432
146,3, 26432
146,4, 26432
146,5, 26432
146,6, 26432
146,7, 26432
146,8, 26432
146,9, 26944
147, 26944
147,1, 26944
147,2, 26944
147,3, 26944
147,4, 26944
147,5, 26944
147,6, 26944
147,7, 26944
147,8, 26944
147,9, 26880
148, 26880
148,1, 26880
148,2, 26880
148,3, 26880
148,4, 26880
148,5, 26880
148,6, 26880
148,7, 26880
148,8, 26880
148,9, 26048
149, 26048
149,1, 26048
149,2, 26048
149,3, 26048
149,4, 26048
149,5, 26048
149,6, 26048
149,7, 26048
149,8, 26048
149,9, 27008
150, 27008
150,1, 27008
150,2, 27008
150,3, 27008
150,4, 27008
150,5, 27008
150,6, 27008
150,7, 27008
150,8, 27008
150,9, 26368
151, 26368
151,1, 26368
151,2, 26368
151,3, 26368
151,4, 26368
151,5, 26368
151,6, 26368
151,7, 26368
151,8, 26368
151,9, 26944
152, 26944
152,1, 26944
152,2, 26944
152,3, 26944
152,4, 26944
152,5, 26944
152,6, 26944
152,7, 26944
152,8, 26944
152,9, 26368
153, 26368
153,1, 26368
153,2, 26368
153,3, 26368
153,4, 26368
153,5, 26368
153,6, 26368
153,7, 26368
153,8, 26368
153,9, 26944
154, 26944
154,1, 26944
154,2, 26944
154,3, 26944
154,4, 26944
154,5, 26944
154,6, 26944
154,7, 26944
154,8, 26944
154,9, 26304
155, 26304
155,1, 26304
155,2, 26304
155,3, 26304
155,4, 26304
155,5, 26304
155,6, 26304
155,7, 26304
155,8, 26304
155,9, 26880
156, 26880
156,1, 26880
156,2, 26880
156,3, 26880
156,4, 26880
156,5, 26880
156,6, 26880
156,7, 26880
156,8, 26880
156,9, 26944
157, 26944
157,1, 26944
157,2, 26944
157,3, 26944
157,4, 26944
157,5, 26944
157,6, 26944
157,7, 26944
157,8, 26944
157,9, 26368
158, 26368
158,1, 26368
158,2, 26368
158,3, 26368
158,4, 26368
158,5, 26368
158,6, 26368
158,7, 26368
158,8, 26368
158,9, 26880
159, 26880
159,1, 26880
159,2, 26880
159,3, 26880
159,4, 26880
159,5, 26880
159,6, 26880
159,7, 26880
159,8, 26880
159,9, 26368
160, 26368
160,1, 26368
160,2, 26368
160,3, 26368
160,4, 26368
160,5, 26368
160,6, 26368
160,7, 26368
160,8, 26368
160,9, 26432
161, 26432
161,1, 26432
161,2, 26432
161,3, 26432
161,4, 26432
161,5, 26432
161,6, 26432
161,7, 26432
161,8, 26432
161,9, 26368
162, 26368
162,1, 26368
162,2, 26368
162,3, 26368
162,4, 26368
162,5, 26368
162,6, 26368
162,7, 26368
162,8, 26368
162,9, 26752
163, 26752
163,1, 26752
163,2, 26752
163,3, 26752
163,4, 26752
163,5, 26752
163,6, 26752
163,7, 26752
163,8, 26752
163,9, 26880
164, 26880
164,1, 26880
164,2, 26880
164,3, 26880
164,4, 26880
164,5, 26880
164,6, 26880
164,7, 26880
164,8, 26880
164,9, 26496
165, 26496
165,1, 26496
165,2, 26496
165,3, 26496
165,4, 26496
165,5, 26496
165,6, 26496
165,7, 26496
165,8, 26496
165,9, 26816
166, 26816
166,1, 26816
166,2, 26816
166,3, 26816
166,4, 26816
166,5, 26816
166,6, 26816
166,7, 26816
166,8, 26816
166,9, 27008
167, 27008
167,1, 27008
167,2, 27008
167,3, 27008
167,4, 27008
167,5, 27008
167,6, 27008
167,7, 27008
167,8, 27008
167,9, 26624
168, 26624
168,1, 26624
168,2, 26624
168,3, 26624
168,4, 26624
168,5, 26624
168,6, 26624
168,7, 26624
168,8, 26624
168,9, 26688
169, 26688
169,1, 26688
169,2, 26688
169,3, 26688
169,4, 26688
169,5, 26688
169,6, 26688
169,7, 26688
169,8, 26688
169,9, 26688
170, 26688
170,1, 26688
170,2, 26688
170,3, 26688
170,4, 26688
170,5, 26688
170,6, 26688
170,7, 26688
170,8, 26688
170,9, 26944
171, 26944
171,1, 26944
171,2, 26944
171,3, 26944
171,4, 26944
171,5, 26944
171,6, 26944
171,7, 26944
171,8, 26944
171,9, 27200
172, 27200
172,1, 27200
172,2, 27200
172,3, 27200
172,4, 27200
172,5, 27200
172,6, 27200
172,7, 27200
172,8, 27200
172,9, 26368
173, 26368
173,1, 26368
173,2, 26368
173,3, 26368
173,4, 26368
173,5, 26368
173,6, 26368
173,7, 26368
173,8, 26368
173,9, 26816
174, 26816
174,1, 26816
174,2, 26816
174,3, 26816
174,4, 26816
174,5, 26816
174,6, 26816
174,7, 26816
174,8, 26816
174,9, 27200
175, 27200
175,1, 27200
175,2, 27200
175,3, 27200
175,4, 27200
175,5, 27200
175,6, 27200
175,7, 27200
175,8, 27200
175,9, 27136
176, 27136
176,1, 27136
176,2, 27136
176,3, 27136
176,4, 27136
