Pixels, Value
0, 2560
57,8, 2752
57,9, 2752
58, 2752
58,1, 2752
58,2, 2752
58,3, 2752
58,4, 2752
58,5, 2752
58,6, 2752
58,7, 2752
58,8, 2752
58,9, 2752
59, 2752
59,1, 2752
59,2, 2752
59,3, 2752
59,4, 2752
59,5, 2752
59,6, 2752
59,7, 2752
59,8, 2752
59,9, 2752
60, 2752
60,1, 2752
60,2, 2624
60,3, 2624
60,4, 2624
60,5, 2624
60,6, 2624
60,7, 2624
60,8, 2624
60,9, 2624
61, 2624
61,1, 2624
61,2, 3008
61,3, 3008
61,4, 3008
61,5, 3008
61,6, 3008
61,7, 3008
61,8, 3008
61,9, 3008
62, 3008
62,1, 3008
62,2, 3008
62,3, 3008
62,4, 3008
62,5, 3008
62,6, 3008
62,7, 3008
62,8, 3008
62,9, 3008
63, 3008
63,1, 3008
63,2, 2944
63,3, 2944
63,4, 2944
63,5, 2944
63,6, 2944
63,7, 2944
63,8, 2944
63,9, 2944
64, 2944
64,1, 2944
64,2, 2880
64,3, 2880
64,4, 2880
64,5, 2880
64,6, 2880
64,7, 2880
64,8, 2880
64,9, 2880
65, 2880
65,1, 2880
65,2, 2880
65,3, 2880
65,4, 2880
65,5, 2880
65,6, 2880
65,7, 2880
65,8, 2880
65,9, 2880
66, 2880
66,1, 2880
66,2, 2752
66,3, 2752
66,4, 2752
66,5, 2752
66,6, 2752
66,7, 2752
66,8, 2752
66,9, 2752
67, 2752
67,1, 2752
67,2, 3200
67,3, 3200
67,4, 3200
67,5, 3200
67,6, 3200
67,7, 3200
67,8, 3200
67,9, 3200
68, 3200
68,1, 3200
68,2, 3136
68,3, 3136
68,4, 3136
68,5, 3136
68,6, 3136
68,7, 3136
68,8, 3136
68,9, 3136
69, 3136
69,1, 3136
69,2, 3072
69,3, 3072
69,4, 3072
69,5, 3072
69,6, 3072
69,7, 3072
69,8, 3072
69,9, 3072
70, 3072
70,1, 3072
70,2, 2944
70,3, 2944
70,4, 2944
70,5, 2944
70,6, 2944
70,7, 2944
70,8, 2944
70,9, 2944
71, 2944
71,1, 2944
71,2, 3072
71,3, 3072
71,4, 3072
71,5, 3072
71,6, 3072
71,7, 3072
71,8, 3072
71,9, 3072
72, 3072
72,1, 3072
72,2, 3264
72,3, 3264
72,4, 3264
72,5, 3264
72,6, 3264
72,7, 3264
72,8, 3264
72,9, 3264
73, 3264
73,1, 3264
73,2, 3008
73,3, 3008
73,4, 3008
73,5, 3008
73,6, 3008
73,7, 3008
73,8, 3008
73,9, 3008
74, 3008
74,1, 3008
74,2, 3392
74,3, 3392
74,4, 3392
74,5, 3392
74,6, 3392
74,7, 3392
74,8, 3392
74,9, 3392
75, 3392
75,1, 3392
75,2, 3456
75,3, 3456
75,4, 3456
75,5, 3456
75,6, 3456
75,7, 3456
75,8, 3456
75,9, 3456
76, 3456
76,1, 3456
76,2, 3200
76,3, 3200
76,4, 3200
76,5, 3200
76,6, 3200
76,7, 3200
76,8, 3200
76,9, 3200
77, 3200
77,1, 3200
77,2, 3200
77,3, 3200
77,4, 3200
77,5, 3200
77,6, 3200
77,7, 3200
77,8, 3200
77,9, 3200
78, 3200
78,1, 3200
78,2, 3136
78,3, 3136
78,4, 3136
78,5, 3136
78,6, 3136
78,7, 3136
78,8, 3136
78,9, 3136
79, 3136
79,1, 3136
79,2, 3136
79,3, 3136
79,4, 3136
79,5, 3136
79,6, 3136
79,7, 3136
79,8, 3136
79,9, 3136
80, 3136
80,1, 3136
80,2, 3328
80,3, 3328
80,4, 3328
80,5, 3328
80,6, 3328
80,7, 3328
80,8, 3328
80,9, 3328
81, 3328
81,1, 3328
81,2, 3392
81,3, 3392
81,4, 3392
81,5, 3392
81,6, 3392
81,7, 3392
81,8, 3392
81,9, 3392
82, 3392
82,1, 3392
82,2, 3264
82,3, 3264
82,4, 3264
82,5, 3264
82,6, 3264
82,7, 3264
82,8, 3264
82,9, 3264
83, 3264
83,1, 3264
83,2, 3392
83,3, 3392
83,4, 3392
83,5, 3392
83,6, 3392
83,7, 3392
83,8, 3392
83,9, 3392
84, 3392
84,1, 3392
84,2, 3648
84,3, 3648
84,4, 3648
84,5, 3648
84,6, 3648
84,7, 3648
84,8, 3648
84,9, 3648
85, 3648
85,1, 3648
85,2, 3328
85,3, 3328
85,4, 3328
85,5, 3328
85,6, 3328
85,7, 3328
85,8, 3328
85,9, 3328
86, 3328
86,1, 3328
86,2, 3456
86,3, 3456
86,4, 3456
86,5, 3456
86,6, 3456
86,7, 3456
86,8, 3456
86,9, 3456
87, 3456
87,1, 3456
87,2, 3520
87,3, 3520
87,4, 3520
87,5, 3520
87,6, 3520
87,7, 3520
87,8, 3520
87,9, 3520
88, 3520
88,1, 3520
88,2, 3520
88,3, 3520
88,4, 3520
88,5, 3520
88,6, 3520
88,7, 3520
88,8, 3520
88,9, 3520
89, 3520
89,1, 3520
89,2, 3648
89,3, 3648
89,4, 3648
89,5, 3648
89,6, 3648
89,7, 3648
89,8, 3648
89,9, 3648
90, 3648
90,1, 3648
90,2, 3776
90,3, 3776
90,4, 3776
90,5, 3776
90,6, 3776
90,7, 3776
90,8, 3776
90,9, 3776
91, 3776
91,1, 3776
91,2, 3904
91,3, 3904
91,4, 3904
91,5, 3904
91,6, 3904
91,7, 3904
91,8, 3904
91,9, 3904
92, 3904
92,1, 3904
92,2, 4160
92,3, 4160
92,4, 4160
92,5, 4160
92,6, 4160
92,7, 4160
92,8, 4160
92,9, 4160
93, 4160
93,1, 4160
93,2, 3776
93,3, 3776
93,4, 3776
93,5, 3776
93,6, 3776
93,7, 3776
93,8, 3776
93,9, 3776
94, 3776
94,1, 3776
94,2, 3968
94,3, 3968
94,4, 3968
94,5, 3968
94,6, 3968
94,7, 3968
94,8, 3968
94,9, 3968
95, 3968
95,1, 3968
95,2, 4032
95,3, 4032
95,4, 4032
95,5, 4032
95,6, 4032
95,7, 4032
95,8, 4032
95,9, 4032
96, 4032
96,1, 4032
96,2, 4224
96,3, 4224
96,4, 4224
96,5, 4224
96,6, 4224
96,7, 4224
96,8, 4224
96,9, 4224
97, 4224
97,1, 4224
97,2, 4416
97,3, 4416
97,4, 4416
97,5, 4416
97,6, 4416
97,7, 4416
97,8, 4416
97,9, 4416
98, 4416
98,1, 4416
98,2, 4672
98,3, 4672
98,4, 4672
98,5, 4672
98,6, 4672
98,7, 4672
98,8, 4672
98,9, 4672
99, 4672
99,1, 4672
99,2, 4672
99,3, 4672
99,4, 4672
99,5, 4672
99,6, 4672
99,7, 4672
99,8, 4672
99,9, 4672
100, 4672
100,1, 4672
100,2, 4928
100,3, 4928
100,4, 4928
100,5, 4928
100,6, 4928
100,7, 4928
100,8, 4928
100,9, 4928
101, 4928
101,1, 4928
101,2, 4992
101,3, 4992
101,4, 4992
101,5, 4992
101,6, 4992
101,7, 4992
101,8, 4992
101,9, 4992
102, 4992
102,1, 4992
102,2, 5312
102,3, 5312
102,4, 5312
102,5, 5312
102,6, 5312
102,7, 5312
102,8, 5312
102,9, 5312
103, 5312
103,1, 5312
103,2, 5312
103,3, 5312
103,4, 5312
103,5, 5312
103,6, 5312
103,7, 5312
103,8, 5312
103,9, 5312
104, 5312
104,1, 5312
104,2, 5952
104,3, 5952
104,4, 5952
104,5, 5952
104,6, 5952
104,7, 5952
104,8, 5952
104,9, 5952
105, 5952
105,1, 5952
105,2, 5952
105,3, 5952
105,4, 5952
105,5, 5952
105,6, 5952
105,7, 5952
105,8, 5952
105,9, 5952
106, 5952
106,1, 5952
106,2, 6784
106,3, 6784
106,4, 6784
106,5, 6784
106,6, 6784
106,7, 6784
106,8, 6784
106,9, 6784
107, 6784
107,1, 6784
107,2, 7616
107,3, 7616
107,4, 7616
107,5, 7616
107,6, 7616
107,7, 7616
107,8, 7616
107,9, 7616
108, 7616
108,1, 7616
108,2, 9280
108,3, 9280
108,4, 9280
108,5, 9280
108,6, 9280
108,7, 9280
108,8, 9280
108,9, 9280
109, 9280
109,1, 9280
109,2, 12544
109,3, 12544
109,4, 12544
109,5, 12544
109,6, 12544
109,7, 12544
109,8, 12544
109,9, 12544
110, 12544
110,1, 12544
110,2, 16512
110,3, 16512
110,4, 16512
110,5, 16512
110,6, 16512
110,7, 16512
110,8, 16512
110,9, 16512
111, 16512
111,1, 16512
111,2, 20480
111,3, 20480
111,4, 20480
111,5, 20480
111,6, 20480
111,7, 20480
111,8, 20480
111,9, 20480
112, 20480
112,1, 20480
112,2, 23360
112,3, 23360
112,4, 23360
112,5, 23360
112,6, 23360
112,7, 23360
112,8, 23360
112,9, 23360
113, 23360
113,1, 23360
113,2, 25088
113,3, 25088
113,4, 25088
113,5, 25088
113,6, 25088
113,7, 25088
113,8, 25088
113,9, 25088
114, 25088
114,1, 25088
114,2, 24512
114,3, 24512
114,4, 24512
114,5, 24512
114,6, 24512
114,7, 24512
114,8, 24512
114,9, 25344
115, 25344
115,1, 25344
115,2, 25600
115,3, 25600
115,4, 25600
115,5, 25600
115,6, 25600
115,7, 25600
115,8, 25600
115,9, 25600
116, 25600
116,1, 25600
116,2, 25536
116,3, 25536
116,4, 25536
116,5, 25536
116,6, 25536
116,7, 25536
116,8, 25536
116,9, 25536
117, 25536
117,1, 25536
117,2, 25344
117,3, 25344
117,4, 25344
117,5, 25344
117,6, 25344
117,7, 25344
117,8, 25344
117,9, 25344
118, 25344
118,1, 25344
118,2, 25472
118,3, 25472
118,4, 25472
118,5, 25472
118,6, 25472
118,7, 25472
118,8, 25472
118,9, 25472
119, 25472
119,1, 25472
119,2, 25920
119,3, 25920
119,4, 25920
119,5, 25920
119,6, 25920
119,7, 25920
119,8, 25920
119,9, 25920
120, 25920
120,1, 25920
120,2, 25664
120,3, 25664
120,4, 25664
120,5, 25664
120,6, 25664
120,7, 25664
120,8, 25664
120,9, 25664
121, 25664
121,1, 25664
121,2, 25920
121,3, 25920
121,4, 25920
121,5, 25920
121,6, 25920
121,7, 25920
121,8, 25920
121,9, 25920
122, 25920
122,1, 25920
122,2, 26432
122,3, 26432
122,4, 26432
122,5, 26432
122,6, 26432
122,7, 26432
122,8, 26432
122,9, 26432
123, 26432
123,1, 26432
123,2, 26432
123,3, 26432
123,4, 26432
123,5, 26432
123,6, 26432
123,7, 26432
123,8, 26432
123,9, 26432
124, 26432
124,1, 26432
124,2, 25408
124,3, 25408
124,4, 25408
124,5, 25408
124,6, 25408
124,7, 25408
124,8, 25408
124,9, 25408
125, 25408
125,1, 25408
125,2, 25856
125,3, 25856
125,4, 25856
125,5, 25856
125,6, 25856
125,7, 25856
125,8, 25856
125,9, 25856
126, 25856
126,1, 25856
126,2, 25536
126,3, 25536
126,4, 25536
126,5, 25536
126,6, 25536
126,7, 25536
126,8, 25536
126,9, 25536
127, 25536
127,1, 25536
127,2, 26176
127,3, 26176
127,4, 26176
127,5, 26176
127,6, 26176
127,7, 26176
127,8, 26176
127,9, 26176
128, 26176
128,1, 26176
128,2, 26240
128,3, 26240
128,4, 26240
128,5, 26240
128,6, 26240
128,7, 26240
128,8, 26240
128,9, 26240
129, 26240
129,1, 26240
129,2, 25984
129,3, 25984
129,4, 25984
129,5, 25984
129,6, 25984
129,7, 25984
129,8, 25984
129,9, 25984
130, 25984
130,1, 25984
130,2, 26304
130,3, 26304
130,4, 26304
130,5, 26304
130,6, 26304
130,7, 26304
130,8, 26304
130,9, 26304
131, 26304
131,1, 26304
131,2, 25664
131,3, 25664
131,4, 25664
131,5, 25664
131,6, 25664
131,7, 25664
131,8, 25664
131,9, 25664
132, 25664
132,1, 25664
132,2, 26240
132,3, 26240
132,4, 26240
132,5, 26240
132,6, 26240
132,7, 26240
132,8, 26240
132,9, 26240
133, 26240
133,1, 26240
133,2, 25984
133,3, 25984
133,4, 25984
133,5, 25984
133,6, 25984
133,7, 25984
133,8, 25984
133,9, 25984
134, 25984
134,1, 25984
134,2, 26112
134,3, 26112
134,4, 26112
134,5, 26112
134,6, 26112
134,7, 26112
134,8, 26112
134,9, 26112
135, 26112
135,1, 26112
135,2, 25728
135,3, 25728
135,4, 25728
135,5, 25728
135,6, 25728
135,7, 25728
135,8, 25728
135,9, 25728
136, 25728
136,1, 25728
136,2, 27136
136,3, 27136
136,4, 27136
136,5, 27136
136,6, 27136
136,7, 27136
136,8, 27136
136,9, 27136
137, 27136
137,1, 27136
137,2, 25984
137,3, 25984
137,4, 25984
137,5, 25984
137,6, 25984
137,7, 25984
137,8, 25984
137,9, 25984
138, 25984
138,1, 25984
138,2, 26752
138,3, 26752
138,4, 26752
138,5, 26752
138,6, 26752
138,7, 26752
138,8, 26752
138,9, 26752
139, 26752
139,1, 26752
139,2, 26304
139,3, 26304
139,4, 26304
139,5, 26304
139,6, 26304
139,7, 26304
139,8, 26304
139,9, 26304
140, 26304
140,1, 26304
140,2, 25664
140,3, 25664
140,4, 25664
140,5, 25664
140,6, 25664
140,7, 25664
140,8, 25664
140,9, 25664
141, 25664
141,1, 25664
141,2, 26048
141,3, 26048
141,4, 26048
141,5, 26048
141,6, 26048
141,7, 26048
141,8, 26048
141,9, 26048
142, 26048
142,1, 26048
142,2, 26304
142,3, 26304
142,4, 26304
142,5, 26304
142,6, 26304
142,7, 26304
142,8, 26304
142,9, 26304
143, 26304
143,1, 26304
143,2, 26432
143,3, 26432
143,4, 26432
143,5, 26432
143,6, 26432
143,7, 26432
143,8, 26432
143,9, 26432
144, 26432
144,1, 26432
144,2, 26048
144,3, 26048
144,4, 26048
144,5, 26048
144,6, 26048
144,7, 26048
144,8, 26048
144,9, 26048
145, 26048
145,1, 26048
145,2, 26624
145,3, 26624
145,4, 26624
145,5, 26624
145,6, 26624
145,7, 26624
145,8, 26624
145,9, 26624
146, 26624
146,1, 26624
146,2, 26048
146,3, 26048
146,4, 26048
146,5, 26048
146,6, 26048
146,7, 26048
146,8, 26048
146,9, 26048
147, 26048
147,1, 26048
147,2, 26304
147,3, 26304
147,4, 26304
147,5, 26304
147,6, 26304
147,7, 26304
147,8, 26304
147,9, 26304
148, 26304
148,1, 26304
148,2, 26048
148,3, 26048
148,4, 26048
148,5, 26048
148,6, 26048
148,7, 26048
148,8, 26048
148,9, 26048
149, 26048
149,1, 26048
149,2, 26816
149,3, 26816
149,4, 26816
149,5, 26816
149,6, 26816
149,7, 26816
149,8, 26816
149,9, 26816
150, 26816
150,1, 26816
150,2, 26624
150,3, 26624
150,4, 26624
150,5, 26624
150,6, 26624
150,7, 26624
150,8, 26624
150,9, 26624
151, 26624
151,1, 26624
151,2, 26048
151,3, 26048
151,4, 26048
151,5, 26048
151,6, 26048
151,7, 26048
151,8, 26048
151,9, 26048
152, 26048
152,1, 26048
152,2, 25856
152,3, 25856
152,4, 25856
152,5, 25856
152,6, 25856
152,7, 25856
152,8, 25856
152,9, 25856
153, 25856
153,1, 25856
153,2, 26368
153,3, 26368
153,4, 26368
153,5, 26368
153,6, 26368
153,7, 26368
153,8, 26368
153,9, 26368
154, 26368
154,1, 26368
154,2, 26048
154,3, 26048
154,4, 26048
154,5, 26048
154,6, 26048
154,7, 26048
154,8, 26048
154,9, 26048
155, 26048
155,1, 26048
155,2, 27008
155,3, 27008
155,4, 27008
155,5, 27008
155,6, 27008
155,7, 27008
155,8, 27008
155,9, 27008
156, 27008
156,1, 27008
156,2, 27200
156,3, 27200
156,4, 27200
156,5, 27200
156,6, 27200
156,7, 27200
156,8, 27200
156,9, 27200
157, 27200
157,1, 27200
157,2, 26304
157,3, 26304
157,4, 26304
157,5, 26304
157,6, 26304
157,7, 26304
157,8, 26304
157,9, 26304
158, 26304
158,1, 26304
158,2, 26688
158,3, 26688
158,4, 26688
158,5, 26688
158,6, 26688
158,7, 26688
158,8, 26688
158,9, 26688
159, 26688
159,1, 26688
159,2, 26944
159,3, 26944
159,4, 26944
159,5, 26944
159,6, 26944
159,7, 26944
159,8, 26944
159,9, 26944
160, 26944
160,1, 26944
160,2, 26304
160,3, 26304
160,4, 26304
160,5, 26304
160,6, 26304
160,7, 26304
160,8, 26304
160,9, 26304
161, 26304
161,1, 26304
161,2, 26944
161,3, 26944
161,4, 26944
161,5, 26944
161,6, 26944
161,7, 26944
161,8, 26944
161,9, 26944
162, 26944
162,1, 26944
162,2, 26304
162,3, 26304
162,4, 26304
162,5, 26304
162,6, 26304
162,7, 26304
162,8, 26304
162,9, 26304
163, 26304
163,1, 26304
163,2, 26944
163,3, 26944
163,4, 26944
163,5, 26944
163,6, 26944
163,7, 26944
163,8, 26944
163,9, 26944
164, 26944
164,1, 26944
164,2, 26816
164,3, 26816
164,4, 26816
164,5, 26816
164,6, 26816
164,7, 26816
164,8, 26816
164,9, 26816
165, 26816
165,1, 26816
165,2, 26368
165,3, 26368
165,4, 26368
165,5, 26368
165,6, 26368
165,7, 26368
165,8, 26368
165,9, 26368
166, 26368
166,1, 26368
166,2, 26496
166,3, 26496
166,4, 26496
166,5, 26496
166,6, 26496
166,7, 26496
166,8, 26496
166,9, 26496
167, 26496
167,1, 26496
167,2, 26432
167,3, 26432
167,4, 26432
167,5, 26432
167,6, 26432
167,7, 26432
167,8, 26432
167,9, 26432
168, 26432
168,1, 26432
168,2, 26560
168,3, 26560
168,4, 26560
168,5, 26560
168,6, 26560
168,7, 26560
168,8, 26560
168,9, 26560
169, 26560
169,1, 26560
169,2, 26688
169,3, 26688
169,4, 26688
169,5, 26688
169,6, 26688
169,7, 26688
169,8, 26688
169,9, 26688
170, 26688
170,1, 26688
170,2, 27200
170,3, 27200
170,4, 27200
170,5, 27200
170,6, 27200
170,7, 27200
170,8, 27200
170,9, 27200
171, 27200
171,1, 27200
171,2, 27008
171,3, 27008
171,4, 27008
171,5, 27008
171,6, 27008
171,7, 27008
171,8, 27008
171,9, 27008
172, 27008
172,1, 27008
172,2, 26304
172,3, 26304
172,4, 26304
172,5, 26304
172,6, 26304
172,7, 26304
172,8, 26304
172,9, 26304
173, 26304
173,1, 26304
173,2, 26304
173,3, 26304
173,4, 26304
173,5, 26304
173,6, 26304
173,7, 26304
173,8, 26304
173,9, 26304
174, 26304
174,1, 26304
174,2, 26240
174,3, 26240
174,4, 26240
174,5, 26240
174,6, 26240
174,7, 26240
174,8, 26240
174,9, 26240
175, 26240
175,1, 26240
175,2, 26368
175,3, 26368
175,4, 26368
175,5, 26368
175,6, 26368
175,7, 26368
175,8, 26368
175,9, 26368
176, 26368
176,1, 26368
176,2, 26944
176,3, 26944
176,4, 26944
176,5, 26944
176,6, 26944
176,7, 26944
176,8, 26944
176,9, 26944
177, 26944
177,1, 26944
177,2, 26240
177,3, 26240
177,4, 26240
177,5, 26240
177,6, 26240
177,7, 26240
177,8, 26240
177,9, 26240
178, 26240
178,1, 26240
178,2, 26112
178,3, 26112
178,4, 26112
178,5, 26112
178,6, 26112
178,7, 26112
178,8, 26112
178,9, 26112
